"","MAG","strategy_broad","time","base","mean_lfc","se_lfc"
"90","12C16O_168h_100_P08_coass_bin.11","Middle Responders",168,11.344138297949,1.15849251030288,0.235785240440966
"91","12C16O_168h_100_P08_coass_bin.27","Middle Responders",3,13.4972845560762,1.35443112538562,0.524638509526949
"92","12C16O_168h_100_P08_coass_bin.27","Middle Responders",24,13.4972845560762,1.47056321592866,0.564099104850066
"93","12C16O_168h_100_P08_coass_bin.27","Middle Responders",48,13.4972845560762,2.40981937550757,1.35149771926531
"94","12C16O_168h_100_P08_coass_bin.27","Middle Responders",72,13.4972845560762,1.2605403578059,1.11454686362337
"95","12C16O_168h_100_P08_coass_bin.27","Middle Responders",168,13.4972845560762,0.52256911837584,1.43175989447403
"96","12C16O_168h_100_P08_coass_bin.31","Middle Responders",3,8.27596815339027,2.9926089599975,0.426234088752791
"97","12C16O_168h_100_P08_coass_bin.31","Middle Responders",24,8.27596815339027,2.80128005226853,0.22363970806158
"98","12C16O_168h_100_P08_coass_bin.31","Middle Responders",48,8.27596815339027,3.13841698298891,0.269217543925659
"99","12C16O_168h_100_P08_coass_bin.31","Middle Responders",72,8.27596815339027,2.6277499054597,0.302892275317217
"100","12C16O_168h_100_P08_coass_bin.31","Middle Responders",168,8.27596815339027,3.41993379202514,0.258265882177379
"101","12C16O_168h_100_P08_coass_bin.7",NA,3,10.5300568908215,2.15320827642315,NA
"102","12C16O_168h_100_P08_coass_bin.7",NA,24,10.5300568908215,2.85262063849971,NA
"103","12C16O_168h_100_P08_coass_bin.7",NA,48,10.5300568908215,2.48302148406359,NA
"104","12C16O_168h_100_P08_coass_bin.7",NA,72,10.5300568908215,2.35738783434082,NA
"105","12C16O_168h_100_P08_coass_bin.7",NA,168,10.5300568908215,1.68169914731103,NA
"106","12C16O_168h_100_P14_coass_bin.3","Middle Responders",3,8.68107424256599,3.23371176927927,NA
"107","12C16O_168h_100_P14_coass_bin.3","Middle Responders",24,8.68107424256599,3.84794323460741,NA
"108","12C16O_168h_100_P14_coass_bin.3","Middle Responders",48,8.68107424256599,3.43459364143856,NA
"109","12C16O_168h_100_P14_coass_bin.3","Middle Responders",72,8.68107424256599,1.45566948828263,NA
"110","12C16O_168h_100_P14_coass_bin.3","Middle Responders",168,8.68107424256599,0.564224801102633,NA
"111","12C16O_168h_100_P14_coass_bin.7","Middle Responders",3,9.52808156872309,-0.459712043326851,0.423713070992848
"112","12C16O_168h_100_P14_coass_bin.7","Middle Responders",24,9.52808156872309,1.03193702007045,0.274024138062515
"113","12C16O_168h_100_P14_coass_bin.7","Middle Responders",48,9.52808156872309,1.78003918936574,0.310048419469232
"114","12C16O_168h_100_P14_coass_bin.7","Middle Responders",72,9.52808156872309,1.84399817259044,0.329646713018264
"115","12C16O_168h_100_P14_coass_bin.7","Middle Responders",168,9.52808156872309,2.10496909516577,0.531964897438425
"116","12C16O_168h_100_P16_coass_bin.10","Early Responders",3,6.0093227031211,0.69305272830124,NA
"117","12C16O_168h_100_P16_coass_bin.10","Early Responders",24,6.0093227031211,1.36188706201213,NA
"118","12C16O_168h_100_P16_coass_bin.10","Early Responders",48,6.0093227031211,1.69078746084069,NA
"119","12C16O_168h_100_P16_coass_bin.10","Early Responders",72,6.0093227031211,-0.252241300461875,NA
"120","12C16O_168h_100_P16_coass_bin.10","Early Responders",168,6.0093227031211,-0.101330928374827,NA
"121","12C16O_168h_100_P16_coass_bin.18","Early Responders",3,9.22278609771878,4.67610964516791,0.294329813712241
"122","12C16O_168h_100_P16_coass_bin.18","Early Responders",24,9.22278609771878,2.25905356031361,0.321803938574109
"123","12C16O_168h_100_P16_coass_bin.18","Early Responders",48,9.22278609771878,0.683848845818331,0.334399536030987
"124","12C16O_168h_100_P16_coass_bin.18","Early Responders",72,9.22278609771878,1.02801078014108,0.186307806118461
"125","12C16O_168h_100_P16_coass_bin.18","Early Responders",168,9.22278609771878,0.0410483923030544,0.294005514741021
"126","12C16O_168h_100_P16_coass_bin.28","Middle Responders",3,7.01815365913064,2.59373024301643,0.335012113632977
"127","12C16O_168h_100_P16_coass_bin.28","Middle Responders",24,7.01815365913064,2.57836752206352,0.329792908904401
"128","12C16O_168h_100_P16_coass_bin.28","Middle Responders",48,7.01815365913064,3.10404427184166,0.367508642085013
"129","12C16O_168h_100_P16_coass_bin.28","Middle Responders",72,7.01815365913064,2.19366043119997,0.358286731958382
"130","12C16O_168h_100_P16_coass_bin.28","Middle Responders",168,7.01815365913064,2.68786128219186,0.544477575198877
"131","12C16O_168h_100_unf_bin.12","Middle Responders",3,5.19904742051713,0.207840126275774,NA
"132","12C16O_168h_100_unf_bin.12","Middle Responders",24,5.19904742051713,0.665160191815139,NA
"133","12C16O_168h_100_unf_bin.12","Middle Responders",48,5.19904742051713,1.72892186143088,NA
"134","12C16O_168h_100_unf_bin.12","Middle Responders",72,5.19904742051713,2.58253865244047,NA
"135","12C16O_168h_100_unf_bin.12","Middle Responders",168,5.19904742051713,2.13366627898727,NA
"136","12C16O_168h_100_unf_bin.13",NA,3,5.7217919115358,-0.409245192327091,NA
"137","12C16O_168h_100_unf_bin.13",NA,24,5.7217919115358,1.39873449166646,NA
"138","12C16O_168h_100_unf_bin.13",NA,48,5.7217919115358,1.50202284066334,NA
"139","12C16O_168h_100_unf_bin.13",NA,72,5.7217919115358,1.72524099430716,NA
"140","12C16O_168h_100_unf_bin.13",NA,168,5.7217919115358,0.750579022343564,NA
"141","12C16O_168h_100_unf_bin.19","Middle Responders",3,7.48747134464449,0.434458655974241,0.468216705472453
"142","12C16O_168h_100_unf_bin.19","Middle Responders",24,7.48747134464449,0.518498878528298,0.1491122752498
"143","12C16O_168h_100_unf_bin.19","Middle Responders",48,7.48747134464449,0.370899280093737,0.480562449785692
"144","12C16O_168h_100_unf_bin.19","Middle Responders",72,7.48747134464449,0.30331832727293,0.391912529614003
"145","12C16O_168h_100_unf_bin.19","Middle Responders",168,7.48747134464449,0.22718550075501,0.108995059610531
"146","12C16O_168h_100_unf_bin.9","Early Responders",3,11.5147085490128,4.80440675692996,0.202071318955117
"147","12C16O_168h_100_unf_bin.9","Early Responders",24,11.5147085490128,1.89845287850273,0.371306437865387
"148","12C16O_168h_100_unf_bin.9","Early Responders",48,11.5147085490128,0.823126877363827,0.618926002657629
"149","12C16O_168h_100_unf_bin.9","Early Responders",72,11.5147085490128,0.956984511679446,0.387377263883991
"150","12C16O_168h_100_unf_bin.9","Early Responders",168,11.5147085490128,0.431038760150524,0.393202114243603
"151","12C16O_168h_50_P09_coass_bin.15",NA,3,23.3436897554032,-2.90686320651509,NA
"152","12C16O_168h_50_P09_coass_bin.15",NA,24,23.3436897554032,-0.904276705985868,NA
"153","12C16O_168h_50_P09_coass_bin.15",NA,48,23.3436897554032,0.705043095813659,NA
"154","12C16O_168h_50_P09_coass_bin.15",NA,72,23.3436897554032,1.82436781723628,NA
"155","12C16O_168h_50_P09_coass_bin.15",NA,168,23.3436897554032,3.30703944352072,NA
"156","12C16O_168h_50_P09_coass_bin.21","Early Responders",3,8.17917496124504,2.99853271973816,NA
"157","12C16O_168h_50_P09_coass_bin.21","Early Responders",24,8.17917496124504,1.2931444281877,NA
"158","12C16O_168h_50_P09_coass_bin.21","Early Responders",48,8.17917496124504,-0.18501663059412,NA
"159","12C16O_168h_50_P09_coass_bin.21","Early Responders",72,8.17917496124504,-0.0586832363661641,NA
"160","12C16O_168h_50_P09_coass_bin.21","Early Responders",168,8.17917496124504,-0.441997284708741,NA
"161","12C16O_168h_50_P09_coass_bin.26","Middle Responders",3,8.481412521695,3.87684182752954,NA
"162","12C16O_168h_50_P09_coass_bin.26","Middle Responders",24,8.481412521695,2.59723511899049,NA
"163","12C16O_168h_50_P09_coass_bin.26","Middle Responders",48,8.481412521695,2.87477243716473,NA
"164","12C16O_168h_50_P09_coass_bin.26","Middle Responders",72,8.481412521695,1.94740900655306,NA
"165","12C16O_168h_50_P09_coass_bin.26","Middle Responders",168,8.481412521695,1.44843158628529,NA
"166","12C16O_168h_50_P09_coass_bin.9",NA,3,5.23144321856635,2.61201325415335,NA
"167","12C16O_168h_50_P09_coass_bin.9",NA,24,5.23144321856635,1.83421583918796,NA
"168","12C16O_168h_50_P09_coass_bin.9",NA,48,5.23144321856635,1.82874564623783,NA
"169","12C16O_168h_50_P09_coass_bin.9",NA,72,5.23144321856635,2.24304191418886,NA
"170","12C16O_168h_50_P09_coass_bin.9",NA,168,5.23144321856635,1.90988159794489,NA
"171","12C16O_168h_50_P10_coass_bin.1",NA,3,12.6704456618326,2.44892509573039,1.60879687142755
"172","12C16O_168h_50_P10_coass_bin.1",NA,24,12.6704456618326,2.57604688336274,0.48935515765681
"173","12C16O_168h_50_P10_coass_bin.1",NA,48,12.6704456618326,3.12822487583468,0.4058830662877
"174","12C16O_168h_50_P10_coass_bin.1",NA,72,12.6704456618326,2.33102974628634,1.31952203499045
"175","12C16O_168h_50_P10_coass_bin.1",NA,168,12.6704456618326,3.4071743475858,0.198667103536245
"176","12C16O_168h_50_P10_coass_bin.11","Early Responders",3,12.1331388451613,3.32539485406202,0.69354546421563
"177","12C16O_168h_50_P10_coass_bin.11","Early Responders",24,12.1331388451613,0.438966014410057,1.21408549580928
"178","12C16O_168h_50_P10_coass_bin.11","Early Responders",48,12.1331388451613,0.695873490152094,0.27654001316553
"179","12C16O_168h_50_P10_coass_bin.11","Early Responders",72,12.1331388451613,1.90607243781393,0.996229573189959
"180","12C16O_168h_50_P10_coass_bin.11","Early Responders",168,12.1331388451613,0.411900053633157,0.849720955124454
"181","12C16O_168h_50_P10_coass_bin.16","Late Responders",3,5.33536496829338,-1.69505148443382,NA
"182","12C16O_168h_50_P10_coass_bin.16","Late Responders",24,5.33536496829338,-0.400744517917207,NA
"183","12C16O_168h_50_P10_coass_bin.16","Late Responders",48,5.33536496829338,1.60356143998942,NA
"184","12C16O_168h_50_P10_coass_bin.16","Late Responders",72,5.33536496829338,2.14848413899738,NA
"185","12C16O_168h_50_P10_coass_bin.16","Late Responders",168,5.33536496829338,3.72078670059821,NA
"186","12C16O_168h_50_P10_coass_bin.27","Middle Responders",3,5.64572053239926,2.2144092216244,0.339976026670095
"187","12C16O_168h_50_P10_coass_bin.27","Middle Responders",24,5.64572053239926,2.65225131546222,0.12715530945189
"188","12C16O_168h_50_P10_coass_bin.27","Middle Responders",48,5.64572053239926,1.46004772881853,0.062452100566805
"189","12C16O_168h_50_P10_coass_bin.27","Middle Responders",72,5.64572053239926,1.46973981439779,0.44476406619668
"190","12C16O_168h_50_P10_coass_bin.27","Middle Responders",168,5.64572053239926,2.16416713570452,0.666166566903085
"191","12C16O_168h_50_P10_coass_bin.31",NA,3,6.65651615457069,1.47272497890255,NA
"192","12C16O_168h_50_P10_coass_bin.31",NA,24,6.65651615457069,1.48370479662109,NA
"193","12C16O_168h_50_P10_coass_bin.31",NA,48,6.65651615457069,1.69008416089449,NA
"194","12C16O_168h_50_P10_coass_bin.31",NA,72,6.65651615457069,1.29339109404356,NA
"195","12C16O_168h_50_P10_coass_bin.31",NA,168,6.65651615457069,-0.947122360659694,NA
"196","12C16O_168h_50_P13_coass_bin.16","Early Responders",3,9.98542654984591,4.6457789512852,0.459493478475477
"197","12C16O_168h_50_P13_coass_bin.16","Early Responders",24,9.98542654984591,1.35362698605995,0.431265808663736
"198","12C16O_168h_50_P13_coass_bin.16","Early Responders",48,9.98542654984591,0.17544942281908,0.286842843378774
"199","12C16O_168h_50_P13_coass_bin.16","Early Responders",72,9.98542654984591,0.102083582012717,0.421724692332097
"200","12C16O_168h_50_P13_coass_bin.16","Early Responders",168,9.98542654984591,-0.480534166875181,1.0112081343022
"201","12C16O_168h_50_P13_coass_bin.21","Middle Responders",3,6.35952704006308,1.33061513273651,NA
"202","12C16O_168h_50_P13_coass_bin.21","Middle Responders",24,6.35952704006308,1.51339626338125,NA
"203","12C16O_168h_50_P13_coass_bin.21","Middle Responders",48,6.35952704006308,1.44312098303309,NA
"204","12C16O_168h_50_P13_coass_bin.21","Middle Responders",72,6.35952704006308,0.883186682581677,NA
"205","12C16O_168h_50_P13_coass_bin.21","Middle Responders",168,6.35952704006308,1.85175099998437,NA
"206","12C16O_168h_50_P13_coass_bin.24","Early Responders",3,9.81597735937199,2.88795013989344,NA
"207","12C16O_168h_50_P13_coass_bin.24","Early Responders",24,9.81597735937199,3.3734448688786,NA
"208","12C16O_168h_50_P13_coass_bin.24","Early Responders",48,9.81597735937199,3.97921377009076,NA
"209","12C16O_168h_50_P13_coass_bin.24","Early Responders",72,9.81597735937199,3.55848080613994,NA
"210","12C16O_168h_50_P13_coass_bin.24","Early Responders",168,9.81597735937199,3.10892379094792,NA
"211","12C16O_168h_50_P13_coass_bin.8","Middle Responders",3,8.26020682352858,-0.16829993705913,0.80268965257991
"212","12C16O_168h_50_P13_coass_bin.8","Middle Responders",24,8.26020682352858,0.150234974583588,0.768079560366476
"213","12C16O_168h_50_P13_coass_bin.8","Middle Responders",48,8.26020682352858,0.031926558541467,0.884895469426329
"214","12C16O_168h_50_P13_coass_bin.8","Middle Responders",72,8.26020682352858,-0.421209910853672,0.861994363274718
"215","12C16O_168h_50_P13_coass_bin.8","Middle Responders",168,8.26020682352858,-0.683151724304786,1.42364231714929
"216","12C16O_168h_50_unf_bin.10","Sensitive",3,9.31362830992892,-3.76451008897842,1.39102877280625
"217","12C16O_168h_50_unf_bin.10","Sensitive",24,9.31362830992892,-2.12206644888784,0.99319839651404
"218","12C16O_168h_50_unf_bin.10","Sensitive",48,9.31362830992892,-0.831378425726829,0.464870521582971
"219","12C16O_168h_50_unf_bin.10","Sensitive",72,9.31362830992892,-2.17356013904018,0.420682688149135
"220","12C16O_168h_50_unf_bin.10","Sensitive",168,9.31362830992892,-3.14094235749222,1.32065939307631
"221","12C16O_168h_50_unf_bin.22","Late Responders",3,7.55999467083288,1.26000702759322,0.284863450482201
"222","12C16O_168h_50_unf_bin.22","Late Responders",24,7.55999467083288,2.64174686816319,0.242374144273681
"223","12C16O_168h_50_unf_bin.22","Late Responders",48,7.55999467083288,3.34052075150512,0.108295113396243
"224","12C16O_168h_50_unf_bin.22","Late Responders",72,7.55999467083288,3.17582285117758,0.113475077954971
"225","12C16O_168h_50_unf_bin.22","Late Responders",168,7.55999467083288,2.72021825547376,0.320984163131361
"226","12C16O_168h_50_unf_bin.34",NA,3,6.2999775318447,2.37705990695343,NA
"227","12C16O_168h_50_unf_bin.34",NA,24,6.2999775318447,3.57117438299799,NA
"228","12C16O_168h_50_unf_bin.34",NA,48,6.2999775318447,2.71423917126372,NA
"229","12C16O_168h_50_unf_bin.34",NA,72,6.2999775318447,1.72442255559824,NA
"230","12C16O_168h_50_unf_bin.34",NA,168,6.2999775318447,3.35835225946023,NA
"231","12C16O_168h_50_unf_bin.37",NA,3,6.25383131396908,-3.78836256348103,NA
"232","12C16O_168h_50_unf_bin.37",NA,24,6.25383131396908,2.41798110107559,NA
"233","12C16O_168h_50_unf_bin.37",NA,48,6.25383131396908,2.31341211818749,NA
"234","12C16O_168h_50_unf_bin.37",NA,72,6.25383131396908,2.35706234659461,NA
"235","12C16O_168h_50_unf_bin.37",NA,168,6.25383131396908,-0.920699473522762,NA
"236","12C16O_168h_50_unf_bin.47","Middle Responders",3,12.3244059852922,-2.00012114289814,0.763369192765015
"237","12C16O_168h_50_unf_bin.47","Middle Responders",24,12.3244059852922,0.523646690127324,0.410177486807118
"238","12C16O_168h_50_unf_bin.47","Middle Responders",48,12.3244059852922,1.10297149493454,0.547191753008418
"239","12C16O_168h_50_unf_bin.47","Middle Responders",72,12.3244059852922,1.18670150930564,0.414954091594329
"240","12C16O_168h_50_unf_bin.47","Middle Responders",168,12.3244059852922,0.98772607895718,0.313907555387301
"241","12C16O_168h_50_unf_bin.52","Late Responders",3,9.4768144101156,3.23966715065716,0.014614045271135
"242","12C16O_168h_50_unf_bin.52","Late Responders",24,9.4768144101156,2.91184819472664,0.55700550956822
"243","12C16O_168h_50_unf_bin.52","Late Responders",48,9.4768144101156,2.51895929211787,0.990450603599595
"244","12C16O_168h_50_unf_bin.52","Late Responders",72,9.4768144101156,2.81896418509817,0.912119558553325
"245","12C16O_168h_50_unf_bin.52","Late Responders",168,9.4768144101156,3.15270080687998,0.204340429930765
"246","12C16O_168h_50_unf_bin.57","Middle Responders",3,5.07495043513593,1.37609827975813,NA
"247","12C16O_168h_50_unf_bin.57","Middle Responders",24,5.07495043513593,2.60208938357436,NA
"248","12C16O_168h_50_unf_bin.57","Middle Responders",48,5.07495043513593,3.13127768347343,NA
"249","12C16O_168h_50_unf_bin.57","Middle Responders",72,5.07495043513593,2.4534723069495,NA
"250","12C16O_168h_50_unf_bin.57","Middle Responders",168,5.07495043513593,3.42372134402565,NA
"251","12C16O_24h_100_P08_coass_bin.11","Middle Responders",3,10.3012776409658,3.04376858698474,NA
"252","12C16O_24h_100_P08_coass_bin.11","Middle Responders",24,10.3012776409658,3.53469814012249,NA
"253","12C16O_24h_100_P08_coass_bin.11","Middle Responders",48,10.3012776409658,3.26719491159249,NA
"254","12C16O_24h_100_P08_coass_bin.11","Middle Responders",72,10.3012776409658,3.31569861621904,NA
"255","12C16O_24h_100_P08_coass_bin.11","Middle Responders",168,10.3012776409658,3.17408019039109,NA
"256","12C16O_24h_100_P08_coass_bin.12","Middle Responders",3,8.2893449928471,-0.894322044396527,0.535020211806969
"257","12C16O_24h_100_P08_coass_bin.12","Middle Responders",24,8.2893449928471,2.55762917070199,0.45108467103761
"258","12C16O_24h_100_P08_coass_bin.12","Middle Responders",48,8.2893449928471,2.95213247995101,0.523808993012367
"259","12C16O_24h_100_P08_coass_bin.12","Middle Responders",72,8.2893449928471,2.6186918730301,0.484757790338674
"260","12C16O_24h_100_P08_coass_bin.12","Middle Responders",168,8.2893449928471,1.64433538629983,0.685718310685872
"261","12C16O_24h_100_P08_coass_bin.20","Middle Responders",3,11.0768575122801,2.69402662932519,1.10861385915918
"262","12C16O_24h_100_P08_coass_bin.20","Middle Responders",24,11.0768575122801,1.82120549190089,0.986272691239989
"263","12C16O_24h_100_P08_coass_bin.20","Middle Responders",48,11.0768575122801,0.711739084733311,1.21761381329353
"264","12C16O_24h_100_P08_coass_bin.20","Middle Responders",72,11.0768575122801,0.0594896681596028,1.10895538351322
"265","12C16O_24h_100_P08_coass_bin.20","Middle Responders",168,11.0768575122801,-0.566078836224735,0.622550335612721
